username,user link,repo name,repo link,star
ccxt,https://github.com/ccxt,ccxt,https://github.com/ccxt/ccxt,30k
StanGirard,https://github.com/StanGirard,quivr,https://github.com/StanGirard/quivr,26.9k
discordjs,https://github.com/discordjs,discord.js,https://github.com/discordjs/discord.js,24.4k
python-telegram-bot,https://github.com/python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,23.9k
wechaty,https://github.com/wechaty,wechaty,https://github.com/wechaty/wechaty,18.1k
RasaHQ,https://github.com/RasaHQ,rasa,https://github.com/RasaHQ/rasa,17.4k
hubotio,https://github.com/hubotio,hubot,https://github.com/hubotio/hubot,16.5k
InstaPy,https://github.com/InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,16k
leon-ai,https://github.com/leon-ai,leon,https://github.com/leon-ai/leon,14k
Rapptz,https://github.com/Rapptz,discord.py,https://github.com/Rapptz/discord.py,13.9k
gunthercox,https://github.com/gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,13.8k
tgbot-collection,https://github.com/tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,13.7k
pedroslopez,https://github.com/pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,12.6k
howdyai,https://github.com/howdyai,botkit,https://github.com/howdyai/botkit,11.3k
lss233,https://github.com/lss233,chatgpt-mirai-qq-bot,https://github.com/lss233/chatgpt-mirai-qq-bot,10.9k
Mrs4s,https://github.com/Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,10k
sfyc23,https://github.com/sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,9.7k
yagop,https://github.com/yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,7.7k
microsoft,https://github.com/microsoft,ailab,https://github.com/microsoft/ailab,7.6k
telegraf,https://github.com/telegraf,telegraf,https://github.com/telegraf/telegraf,7.3k
